data,id,humidite,direction_du_vecteur_de_vent_max,pluie_intensite_max,pression,direction_du_vecteur_vent_moyen,type_de_station,pluie,direction_du_vecteur_de_vent_max_en_degres,force_moyenne_du_vecteur_vent,force_rafale_max,temperature_en_degre_c,heure_de_paris,heure_utc
1b92682fc2a80371cb0e8000,13,85.0,7.0,0.0,98800.0,110.0,ISS,0.0,157.5,14.0,32.0,13.0,2025-12-18T16:00:00+00:00,2025-12-18T16:00:00+00:00
1b9268cf8ac00381cb0a7800,13,88.0,5.0,0.0,98800.0,112.0,ISS,0.0,112.5,14.0,30.0,12.2,2025-12-18T17:15:00+00:00,2025-12-18T17:15:00+00:00
1b92696f8ac80391eb0c6c00,13,89.0,6.0,0.0,98800.0,114.0,ISS,0.0,135.0,15.0,27.0,12.2,2025-12-18T18:30:00+00:00,2025-12-18T18:30:00+00:00
1b926a8f8ac80381cb2a7400,13,89.0,5.0,0.0,98900.0,112.0,ISS,0.0,112.5,14.0,29.0,12.2,2025-12-18T20:45:00+00:00,2025-12-18T20:45:00+00:00
1b926aef8ec00381ab286c00,13,88.0,4.0,0.0,98900.0,112.0,ISS,0.0,90.0,13.0,27.0,12.3,2025-12-18T21:30:00+00:00,2025-12-18T21:30:00+00:00
1b92694f86c80371eb0c7800,13,89.0,6.0,0.0,98800.0,110.0,ISS,0.0,135.0,15.0,30.0,12.1,2025-12-18T18:15:00+00:00,2025-12-18T18:15:00+00:00
1b9269ef8ac803620b0c8800,13,89.0,6.0,0.0,98800.0,108.0,ISS,0.0,135.0,16.0,34.0,12.2,2025-12-18T19:30:00+00:00,2025-12-18T19:30:00+00:00
1b926a2f8ac80381cb2e8800,13,89.0,7.0,0.0,98900.0,112.0,ISS,0.0,157.5,14.0,34.0,12.2,2025-12-18T20:00:00+00:00,2025-12-18T20:00:00+00:00
1b926a6f8ac80381eb2c7800,13,89.0,6.0,0.0,98900.0,112.0,ISS,0.0,135.0,15.0,30.0,12.2,2025-12-18T20:30:00+00:00,2025-12-18T20:30:00+00:00
1b9269cf8ac803820b0c8c00,13,89.0,6.0,0.0,98800.0,112.0,ISS,0.0,135.0,16.0,35.0,12.2,2025-12-18T19:15:00+00:00,2025-12-18T19:15:00+00:00
