data,id,humidite,direction_du_vecteur_de_vent_max,pluie_intensite_max,pression,direction_du_vecteur_vent_moyen,type_de_station,pluie,direction_du_vecteur_de_vent_max_en_degres,force_moyenne_du_vecteur_vent,force_rafale_max,temperature_en_degre_c,heure_de_paris,heure_utc
3192688fca980001cc0c7400,24,83.0,6.0,0.0,99600.0,0.0,ISS,0.0,135.0,14.0,29.0,13.2,2025-12-18T16:45:00+00:00,2025-12-18T16:45:00+00:00
3192698fa2b00001ac0a8800,24,86.0,5.0,0.0,99600.0,0.0,ISS,0.0,112.5,13.0,34.0,12.8,2025-12-18T18:45:00+00:00,2025-12-18T18:45:00+00:00
319268afc6a000018c106000,24,84.0,8.0,0.0,99600.0,0.0,ISS,0.0,180.0,12.0,24.0,13.1,2025-12-18T17:00:00+00:00,2025-12-18T17:00:00+00:00
31926a0fa2b000012c0e6c00,24,86.0,7.0,0.0,99600.0,0.0,ISS,0.0,157.5,9.0,27.0,12.8,2025-12-18T19:45:00+00:00,2025-12-18T19:45:00+00:00
31926a2f9eb000012c0c5800,24,86.0,6.0,0.0,99600.0,0.0,ISS,0.0,135.0,9.0,22.0,12.7,2025-12-18T20:00:00+00:00,2025-12-18T20:00:00+00:00
31926a4f9eb000012c305400,24,86.0,8.0,0.0,99700.0,0.0,ISS,0.0,180.0,9.0,21.0,12.7,2025-12-18T20:15:00+00:00,2025-12-18T20:15:00+00:00
31926a6f9eb000010c2e4c00,24,86.0,7.0,0.0,99700.0,0.0,ISS,0.0,157.5,8.0,19.0,12.7,2025-12-18T20:30:00+00:00,2025-12-18T20:30:00+00:00
31926a8f9eb000010c2e5400,24,86.0,7.0,0.0,99700.0,0.0,ISS,0.0,157.5,8.0,21.0,12.7,2025-12-18T20:45:00+00:00,2025-12-18T20:45:00+00:00
31926b4f9ab000012c305400,24,86.0,8.0,0.0,99700.0,0.0,ISS,0.0,180.0,9.0,21.0,12.6,2025-12-18T22:15:00+00:00,2025-12-18T22:15:00+00:00
319361cf86c00000ac4c3800,24,88.0,6.0,0.0,99800.0,0.0,ISS,0.0,135.0,5.0,14.0,12.1,2025-12-19T03:15:00+00:00,2025-12-19T03:15:00+00:00
3193628f82c800014c4e6000,24,89.0,7.0,0.0,99800.0,0.0,ISS,0.0,157.5,10.0,24.0,12.0,2025-12-19T04:45:00+00:00,2025-12-19T04:45:00+00:00
319362ef62c800010c6e4800,24,89.0,7.0,0.0,99900.0,0.0,ISS,0.0,157.5,8.0,18.0,11.8,2025-12-19T05:30:00+00:00,2025-12-19T05:30:00+00:00
3193640f4ed800006c6e2800,24,91.0,7.0,0.0,99900.0,0.0,ISS,0.0,157.5,3.0,10.0,11.3,2025-12-19T07:45:00+00:00,2025-12-19T07:45:00+00:00
3192686fce980001ac0a8000,24,83.0,5.0,0.0,99600.0,0.0,ISS,0.0,112.5,13.0,32.0,13.3,2025-12-18T16:30:00+00:00,2025-12-18T16:30:00+00:00
319268cfc2a800018c0e8000,24,85.0,7.0,0.0,99600.0,0.0,ISS,0.0,157.5,12.0,32.0,13.0,2025-12-18T17:15:00+00:00,2025-12-18T17:15:00+00:00
31926b2f9ab000016c2c7800,24,86.0,6.0,0.0,99700.0,0.0,ISS,0.0,135.0,11.0,30.0,12.6,2025-12-18T22:00:00+00:00,2025-12-18T22:00:00+00:00
3192694fa2b000016c0c6c00,24,86.0,6.0,0.0,99600.0,0.0,ISS,0.0,135.0,11.0,27.0,12.8,2025-12-18T18:15:00+00:00,2025-12-18T18:15:00+00:00
3193674fcab804f0ac403800,24,87.0,0.0,0.0,99800.0,158.0,ISS,0.0,0.0,5.0,14.0,13.2,2025-12-19T14:15:00+00:00,2025-12-19T14:15:00+00:00
3192690fa6a800016c0e6800,24,85.0,7.0,0.0,99600.0,0.0,ISS,0.0,157.5,11.0,26.0,12.9,2025-12-18T17:45:00+00:00,2025-12-18T17:45:00+00:00
3192696fa2b00001ac0e6c00,24,86.0,7.0,0.0,99600.0,0.0,ISS,0.0,157.5,13.0,27.0,12.8,2025-12-18T18:30:00+00:00,2025-12-18T18:30:00+00:00
319269afa2b000016c0c6800,24,86.0,6.0,0.0,99600.0,0.0,ISS,0.0,135.0,11.0,26.0,12.8,2025-12-18T19:00:00+00:00,2025-12-18T19:00:00+00:00
31926b8f92b000010c4c5800,24,86.0,6.0,0.0,99800.0,0.0,ISS,0.0,135.0,8.0,22.0,12.4,2025-12-18T22:45:00+00:00,2025-12-18T22:45:00+00:00
3193604f86c00000ac4e2c00,24,88.0,7.0,0.0,99800.0,0.0,ISS,0.0,157.5,5.0,11.0,12.1,2025-12-19T00:15:00+00:00,2025-12-19T00:15:00+00:00
3193606f86c000004c4e2800,24,88.0,7.0,0.0,99800.0,0.0,ISS,0.0,157.5,2.0,10.0,12.1,2025-12-19T00:30:00+00:00,2025-12-19T00:30:00+00:00
3193608f82c000008c502c00,24,88.0,8.0,0.0,99800.0,0.0,ISS,0.0,180.0,4.0,11.0,12.0,2025-12-19T00:45:00+00:00,2025-12-19T00:45:00+00:00
3192682fe2880001ec0c7800,24,81.0,6.0,0.0,99600.0,0.0,ISS,0.0,135.0,15.0,30.0,13.8,2025-12-18T16:00:00+00:00,2025-12-18T16:00:00+00:00
31926acf9ab000012c2e6000,24,86.0,7.0,0.0,99700.0,0.0,ISS,0.0,157.5,9.0,24.0,12.6,2025-12-18T21:15:00+00:00,2025-12-18T21:15:00+00:00
31926aef9ab000010c2e5800,24,86.0,7.0,0.0,99700.0,0.0,ISS,0.0,157.5,8.0,22.0,12.6,2025-12-18T21:30:00+00:00,2025-12-18T21:30:00+00:00
31926aaf9ab00000ec2e4c00,24,86.0,7.0,0.0,99700.0,0.0,ISS,0.0,157.5,7.0,19.0,12.6,2025-12-18T21:00:00+00:00,2025-12-18T21:00:00+00:00
319269efa2b000016c106c00,24,86.0,8.0,0.0,99600.0,0.0,ISS,0.0,180.0,11.0,27.0,12.8,2025-12-18T19:30:00+00:00,2025-12-18T19:30:00+00:00
3193616f86c000008c4e4000,24,88.0,7.0,0.0,99800.0,0.0,ISS,0.0,157.5,4.0,16.0,12.1,2025-12-19T02:30:00+00:00,2025-12-19T02:30:00+00:00
