data,id,mois,jour,annee,numero_de_message,temperature_partie_entiere,temperature_partie_decimale,humidite,pluie_en_augets,direction_du_vecteur_moyen_de_vent,force_moyenne_du_vecteur_de_vent,pression_a_decoder,direction_du_vecteur_de_vent_max,force_du_vecteur_de_vent_max,pluie_la_plus_intense_durant_1_min,type_station,pluie_intensite_max,heure,annee_reelle,minute,pression,temperature_decodee,direction_du_vecteur_vent_moyen,type_de_station,pluie,direction_du_vecteur_de_vent_max_en_degres,force_moyenne_du_vecteur_vent,force_rafale_max,jour_mois,dd_mm_yy_utc,hh_mm_utc,dd_mm_yy_hh_mm,temperature_en_degre_c,false_message,dd_mm_yy_hh_mm_utc,heure_paris_dd_mm_yy_hh_mm,heure_de_paris,heure_utc
4393608ee6d000000d400000,33,12,19,6,4,59,9,90.0,0,0,0,106,0.0,0,0,0,0.0,0,2025,45,100600.0,9,0.0,ISS,0.0,0.0,0.0,0.0,19/12,19/12/2025,0:45,2025-12-19T00:45:00,9.9,222298112,2025-12-19T00:45:00+00:00,2025-12-19T00:45:00+01:00,2025-12-19T00:45:00+00:00,2025-12-19T00:45:00+00:00
439361ee92e800000d400000,33,12,19,6,15,58,4,93.0,0,0,0,106,0.0,0,0,0,0.0,3,2025,30,100600.0,8,0.0,ISS,0.0,0.0,0.0,0.0,19/12,19/12/2025,3:30,2025-12-19T03:30:00,8.4,222298112,2025-12-19T03:30:00+00:00,2025-12-19T03:30:00+01:00,2025-12-19T03:30:00+00:00,2025-12-19T03:30:00+00:00
4393618ea2e000000d400000,33,12,19,6,12,58,8,92.0,0,0,0,106,0.0,0,0,0,0.0,2,2025,45,100600.0,8,0.0,ISS,0.0,0.0,0.0,0.0,19/12,19/12/2025,2:45,2025-12-19T02:45:00,8.8,222298112,2025-12-19T02:45:00+00:00,2025-12-19T02:45:00+01:00,2025-12-19T02:45:00+00:00,2025-12-19T02:45:00+00:00
439361ae9ee000000d400000,33,12,19,6,13,58,7,92.0,0,0,0,106,0.0,0,0,0,0.0,3,2025,0,100600.0,8,0.0,ISS,0.0,0.0,0.0,0.0,19/12,19/12/2025,3:0,2025-12-19T03:00:00,8.7,222298112,2025-12-19T03:00:00+00:00,2025-12-19T03:00:00+01:00,2025-12-19T03:00:00+00:00,2025-12-19T03:00:00+00:00
439360ced2d800000d400000,33,12,19,6,6,59,4,91.0,0,0,0,106,0.0,0,0,0,0.0,1,2025,15,100600.0,9,0.0,ISS,0.0,0.0,0.0,0.0,19/12,19/12/2025,1:15,2025-12-19T01:15:00,9.4,222298112,2025-12-19T01:15:00+00:00,2025-12-19T01:15:00+01:00,2025-12-19T01:15:00+00:00,2025-12-19T01:15:00+00:00
4393622e8ef000000d400000,33,12,19,6,17,58,3,94.0,0,0,0,106,0.0,0,0,0,0.0,4,2025,0,100600.0,8,0.0,ISS,0.0,0.0,0.0,0.0,19/12,19/12/2025,4:0,2025-12-19T04:00:00,8.3,222298112,2025-12-19T04:00:00+00:00,2025-12-19T04:00:00+01:00,2025-12-19T04:00:00+00:00,2025-12-19T04:00:00+00:00
4393632e86f000000d600000,33,12,19,6,25,58,1,94.0,0,0,0,107,0.0,0,0,0,0.0,6,2025,0,100700.0,8,0.0,ISS,0.0,0.0,0.0,0.0,19/12,19/12/2025,6:0,2025-12-19T06:00:00,8.1,224395264,2025-12-19T06:00:00+00:00,2025-12-19T06:00:00+01:00,2025-12-19T06:00:00+00:00,2025-12-19T06:00:00+00:00
439363ce62f800000d600000,33,12,19,6,30,57,8,95.0,0,0,0,107,0.0,0,0,0,0.0,7,2025,15,100700.0,7,0.0,ISS,0.0,0.0,0.0,0.0,19/12,19/12/2025,7:15,2025-12-19T07:15:00,7.8,224395264,2025-12-19T07:15:00+00:00,2025-12-19T07:15:00+01:00,2025-12-19T07:15:00+00:00,2025-12-19T07:15:00+00:00
439360aedad000000d400000,33,12,19,6,5,59,6,90.0,0,0,0,106,0.0,0,0,0,0.0,1,2025,0,100600.0,9,0.0,ISS,0.0,0.0,0.0,0.0,19/12,19/12/2025,1:0,2025-12-19T01:00:00,9.6,222298112,2025-12-19T01:00:00+00:00,2025-12-19T01:00:00+01:00,2025-12-19T01:00:00+00:00,2025-12-19T01:00:00+00:00
43926bef82b800000d400000,33,12,18,6,95,62,0,87.0,0,0,0,106,0.0,0,0,0,0.0,23,2025,30,100600.0,12,0.0,ISS,0.0,0.0,0.0,0.0,18/12,18/12/2025,23:30,2025-12-18T23:30:00,12.0,222298112,2025-12-18T23:30:00+00:00,2025-12-18T23:30:00+01:00,2025-12-18T23:30:00+00:00,2025-12-18T23:30:00+00:00
4393616ec6e000000d400000,33,12,19,6,11,59,1,92.0,0,0,0,106,0.0,0,0,0,0.0,2,2025,30,100600.0,9,0.0,ISS,0.0,0.0,0.0,0.0,19/12,19/12/2025,2:30,2025-12-19T02:30:00,9.1,222298112,2025-12-19T02:30:00+00:00,2025-12-19T02:30:00+01:00,2025-12-19T02:30:00+00:00,2025-12-19T02:30:00+00:00
4393624e8ef000000d400000,33,12,19,6,18,58,3,94.0,0,0,0,106,0.0,0,0,0,0.0,4,2025,15,100600.0,8,0.0,ISS,0.0,0.0,0.0,0.0,19/12,19/12/2025,4:15,2025-12-19T04:15:00,8.3,222298112,2025-12-19T04:15:00+00:00,2025-12-19T04:15:00+01:00,2025-12-19T04:15:00+00:00,2025-12-19T04:15:00+00:00
4393626e92f000000d400000,33,12,19,6,19,58,4,94.0,0,0,0,106,0.0,0,0,0,0.0,4,2025,30,100600.0,8,0.0,ISS,0.0,0.0,0.0,0.0,19/12,19/12/2025,4:30,2025-12-19T04:30:00,8.4,222298112,2025-12-19T04:30:00+00:00,2025-12-19T04:30:00+01:00,2025-12-19T04:30:00+00:00,2025-12-19T04:30:00+00:00
4393630e86f000000d600000,33,12,19,6,24,58,1,94.0,0,0,0,107,0.0,0,0,0,0.0,5,2025,45,100700.0,8,0.0,ISS,0.0,0.0,0.0,0.0,19/12,19/12/2025,5:45,2025-12-19T05:45:00,8.1,224395264,2025-12-19T05:45:00+00:00,2025-12-19T05:45:00+01:00,2025-12-19T05:45:00+00:00,2025-12-19T05:45:00+00:00
