data,id,humidite,direction_du_vecteur_de_vent_max,pluie_intensite_max,pression,direction_du_vecteur_vent_moyen,type_de_station,pluie,direction_du_vecteur_de_vent_max_en_degres,force_moyenne_du_vecteur_vent,force_rafale_max,temperature_en_degre_c,heure_de_paris,heure_utc
4a4a77cf626800000fb01400,37,77.0,8.0,0.0,102500.0,0.0,ISS,0.0,180.0,0.0,5.0,11.8,2026-02-10T15:15:00+00:00,2026-02-10T15:15:00+00:00
4a4a7c0fe6180051579e6800,37,67.0,15.0,0.0,108800.0,10.0,ISS,0.0,337.5,10.0,26.0,13.9,2026-02-10T23:45:00+00:00,2026-02-10T23:45:00+00:00
4a4a7a4fe258000054f62c00,37,75.0,11.0,0.0,106700.0,0.0,ISS,0.0,247.5,2.0,11.0,13.8,2026-02-10T20:15:00+00:00,2026-02-10T20:15:00+00:00
4a4a798fe6580000529a20c0,37,75.0,13.0,0.6000000000000001,104800.0,0.0,ISS,0.0,292.5,2.0,8.0,13.9,2026-02-10T18:45:00+00:00,2026-02-10T18:45:00+00:00
4a4a7930025803e053564000,37,75.0,11.0,0.0,105400.0,124.0,ISS,0.0,247.5,2.0,16.0,14.0,2026-02-10T18:00:00+00:00,2026-02-10T18:00:00+00:00
4a4a788fe260005090823400,37,76.0,1.0,0.0,103200.0,10.0,ISS,0.0,22.5,4.0,13.0,13.8,2026-02-10T16:45:00+00:00,2026-02-10T16:45:00+00:00
4a4a79500258000092f63400,37,75.0,11.0,0.0,105100.0,0.0,ISS,0.0,247.5,4.0,13.0,14.0,2026-02-10T18:15:00+00:00,2026-02-10T18:15:00+00:00
4a4a7bafc6400030b4a24000,37,72.0,1.0,0.0,106500.0,6.0,ISS,0.0,22.5,5.0,16.0,13.1,2026-02-10T23:00:00+00:00,2026-02-10T23:00:00+00:00
4a4a7aefd250056072822000,37,74.0,1.0,0.0,104800.0,172.0,ISS,0.0,22.5,3.0,8.0,13.4,2026-02-10T21:30:00+00:00,2026-02-10T21:30:00+00:00
4a4b70900a00006138fe6000,37,64.0,15.0,0.0,109900.0,12.0,ISS,0.0,337.5,9.0,24.0,14.2,2026-02-11T00:45:00+00:00,2026-02-11T00:45:00+00:00
4a4b742fc9f80010a7023400,37,63.0,1.0,0.0,95600.0,2.0,ISS,0.0,22.5,5.0,13.0,13.2,2026-02-11T08:00:00+00:00,2026-02-11T08:00:00+00:00
4a4b72efe1e0057120768800,37,60.0,11.0,0.0,90300.0,174.0,ISS,0.0,247.5,9.0,34.0,13.8,2026-02-11T05:30:00+00:00,2026-02-11T05:30:00+00:00
4a4a778f526800000f0e18c0,37,77.0,7.0,0.6000000000000001,102000.0,0.0,ISS,0.0,157.5,0.0,6.0,11.4,2026-02-10T14:45:00+00:00,2026-02-10T14:45:00+00:00
4a4a7aafd650031033781400,37,74.0,12.0,0.0,105500.0,98.0,ISS,0.0,270.0,1.0,5.0,13.5,2026-02-10T21:00:00+00:00,2026-02-10T21:00:00+00:00
