data,id,humidite,direction_du_vecteur_de_vent_max,pluie_intensite_max,pression,direction_du_vecteur_vent_moyen,type_de_station,pluie,direction_du_vecteur_de_vent_max_en_degres,force_moyenne_du_vecteur_vent,force_rafale_max,temperature_en_degre_c,heure_de_paris,heure_utc
7d92696fca0803110cc85800,62,65.0,4.0,0.0,100200.0,98.0,ISS,0.0,90.0,8.0,22.0,13.2,2025-12-18T18:30:00+00:00,2025-12-18T18:30:00+00:00
7d9268cfd5f003212cc66000,62,62.0,3.0,0.0,100200.0,100.0,ISS,0.0,67.5,9.0,24.0,13.5,2025-12-18T17:15:00+00:00,2025-12-18T17:15:00+00:00
7d9269cfce0803512cc85800,62,65.0,4.0,0.0,100200.0,106.0,ISS,0.0,90.0,9.0,22.0,13.3,2025-12-18T19:15:00+00:00,2025-12-18T19:15:00+00:00
7d926aefd20003310ce84c00,62,64.0,4.0,0.0,100300.0,102.0,ISS,0.0,90.0,8.0,19.0,13.4,2025-12-18T21:30:00+00:00,2025-12-18T21:30:00+00:00
7d926b2fd20003410d085400,62,64.0,4.0,0.0,100400.0,104.0,ISS,0.0,90.0,8.0,21.0,13.4,2025-12-18T22:00:00+00:00,2025-12-18T22:00:00+00:00
7d926bafca0003a0ad0c4800,62,64.0,6.0,0.0,100400.0,116.0,ISS,0.0,135.0,5.0,18.0,13.2,2025-12-18T23:00:00+00:00,2025-12-18T23:00:00+00:00
7d9360cf921804302d2c0c00,62,67.0,6.0,0.0,100500.0,134.0,ISS,0.0,135.0,1.0,3.0,12.4,2025-12-19T01:15:00+00:00,2025-12-19T01:15:00+00:00
7d93622eda4000000d2a0800,62,72.0,5.0,0.0,100500.0,0.0,ISS,0.0,112.5,0.0,2.0,9.6,2025-12-19T04:00:00+00:00,2025-12-19T04:00:00+00:00
7d9361eeda3803800d2a0800,62,71.0,5.0,0.0,100500.0,112.0,ISS,0.0,112.5,0.0,2.0,9.6,2025-12-19T03:30:00+00:00,2025-12-19T03:30:00+00:00
7d93628eda4000000d200000,62,72.0,0.0,0.0,100500.0,0.0,ISS,0.0,0.0,0.0,0.0,9.6,2025-12-19T04:45:00+00:00,2025-12-19T04:45:00+00:00
7d93634f4e4004300d2c1400,62,72.0,6.0,0.0,100500.0,134.0,ISS,0.0,135.0,0.0,5.0,11.3,2025-12-19T06:15:00+00:00,2025-12-19T06:15:00+00:00
7d93636f1a3800000d2c0800,62,71.0,6.0,0.0,100500.0,0.0,ISS,0.0,135.0,0.0,2.0,10.6,2025-12-19T06:30:00+00:00,2025-12-19T06:30:00+00:00
7d93638f023800000d200000,62,71.0,0.0,0.0,100500.0,0.0,ISS,0.0,0.0,0.0,0.0,10.0,2025-12-19T06:45:00+00:00,2025-12-19T06:45:00+00:00
7d9268300de80360ecc84c00,62,61.0,4.0,0.0,100200.0,108.0,ISS,0.0,90.0,7.0,19.0,14.3,2025-12-18T16:00:00+00:00,2025-12-18T16:00:00+00:00
7d92688fddf003210cc84c00,62,62.0,4.0,0.0,100200.0,100.0,ISS,0.0,90.0,8.0,19.0,13.7,2025-12-18T16:45:00+00:00,2025-12-18T16:45:00+00:00
7d9268afd9f003310cc85400,62,62.0,4.0,0.0,100200.0,102.0,ISS,0.0,90.0,8.0,21.0,13.6,2025-12-18T17:00:00+00:00,2025-12-18T17:00:00+00:00
7d92690fca0003210cc84800,62,64.0,4.0,0.0,100200.0,100.0,ISS,0.0,90.0,8.0,18.0,13.2,2025-12-18T17:45:00+00:00,2025-12-18T17:45:00+00:00
7d926b8fce000370cd0a4000,62,64.0,5.0,0.0,100400.0,110.0,ISS,0.0,112.5,6.0,16.0,13.3,2025-12-18T22:45:00+00:00,2025-12-18T22:45:00+00:00
7d926aafce0003110ce66000,62,64.0,3.0,0.0,100300.0,98.0,ISS,0.0,67.5,8.0,24.0,13.3,2025-12-18T21:00:00+00:00,2025-12-18T21:00:00+00:00
