data,id,humidite,direction_du_vecteur_de_vent_max,pluie_intensite_max,pression,direction_du_vecteur_vent_moyen,type_de_station,pluie,direction_du_vecteur_de_vent_max_en_degres,force_moyenne_du_vecteur_vent,force_rafale_max,temperature_en_degre_c,heure_de_paris,heure_utc
05656bb0c68802e02ae66000,2,81.0,3.0,0.0,98700.0,92.0,ISS,0.0,67.5,1.0,24.0,17.1,2025-11-05T23:00:00+00:00,2025-11-05T23:00:00+00:00
05656811164803202b466800,2,73.0,3.0,0.0,99000.0,100.0,ISS,0.0,67.5,1.0,26.0,18.5,2025-11-05T15:45:00+00:00,2025-11-05T15:45:00+00:00
056566918e1802a02b8a6c00,2,67.0,5.0,0.0,99200.0,84.0,ISS,0.0,112.5,1.0,27.0,20.3,2025-11-05T12:45:00+00:00,2025-11-05T12:45:00+00:00
056566d1821803004b66a000,2,67.0,3.0,0.0,99100.0,96.0,ISS,0.0,67.5,2.0,40.0,20.0,2025-11-05T13:15:00+00:00,2025-11-05T13:15:00+00:00
056567714e3003302b4c6c00,2,70.0,6.0,0.0,99000.0,102.0,ISS,0.0,135.0,1.0,27.0,19.3,2025-11-05T14:30:00+00:00,2025-11-05T14:30:00+00:00
056567f11e4803206b4a6800,2,73.0,5.0,0.0,99000.0,100.0,ISS,0.0,112.5,3.0,26.0,18.7,2025-11-05T15:30:00+00:00,2025-11-05T15:30:00+00:00
056568b1026802a00b464800,2,77.0,3.0,0.0,99000.0,84.0,ISS,0.0,67.5,0.0,18.0,18.0,2025-11-05T17:00:00+00:00,2025-11-05T17:00:00+00:00
056569f0d68002d00b285800,2,80.0,4.0,0.0,98900.0,90.0,ISS,0.0,90.0,0.0,22.0,17.5,2025-11-05T19:30:00+00:00,2025-11-05T19:30:00+00:00
05656a10d68003302b2a4c00,2,80.0,5.0,0.0,98900.0,102.0,ISS,0.0,112.5,1.0,19.0,17.5,2025-11-05T19:45:00+00:00,2025-11-05T19:45:00+00:00
05656bf0c68803304aea8000,2,81.0,5.0,0.0,98700.0,102.0,ISS,0.0,112.5,2.0,32.0,17.1,2025-11-05T23:30:00+00:00,2025-11-05T23:30:00+00:00
05666090ca8003f02aca3800,2,80.0,5.0,0.0,98600.0,126.0,ISS,0.0,112.5,1.0,14.0,17.2,2025-11-06T00:45:00+00:00,2025-11-06T00:45:00+00:00
056660f0ce8003300aca4000,2,80.0,5.0,0.0,98600.0,102.0,ISS,0.0,112.5,0.0,16.0,17.3,2025-11-06T01:30:00+00:00,2025-11-06T01:30:00+00:00
05666270a68800000ac60800,2,81.0,3.0,0.0,98600.0,0.0,ISS,0.0,67.5,0.0,2.0,16.9,2025-11-06T04:30:00+00:00,2025-11-06T04:30:00+00:00
05666290a68800000ae60800,2,81.0,3.0,0.0,98700.0,0.0,ISS,0.0,67.5,0.0,2.0,16.9,2025-11-06T04:45:00+00:00,2025-11-06T04:45:00+00:00
05666190c68000000ad20c00,2,80.0,9.0,0.0,98600.0,0.0,ISS,0.0,202.5,0.0,3.0,17.1,2025-11-06T02:45:00+00:00,2025-11-06T02:45:00+00:00
05666130c68803b00acc2c00,2,81.0,6.0,0.0,98600.0,118.0,ISS,0.0,135.0,0.0,11.0,17.1,2025-11-06T02:00:00+00:00,2025-11-06T02:00:00+00:00
0566642fcee080000b200040,2,92.0,0.0,0.2,98900.0,0.0,ISS,1.6,0.0,0.0,0.0,13.3,2025-11-06T08:00:00+00:00,2025-11-06T08:00:00+00:00
0566648fc6e850000b000040,2,93.0,0.0,0.2,98800.0,0.0,ISS,1.0,0.0,0.0,0.0,13.1,2025-11-06T08:45:00+00:00,2025-11-06T08:45:00+00:00
0566646fc6e840000b000040,2,93.0,0.0,0.2,98800.0,0.0,ISS,0.8,0.0,0.0,0.0,13.1,2025-11-06T08:30:00+00:00,2025-11-06T08:30:00+00:00
05666310c29000000ae00000,2,82.0,0.0,0.0,98700.0,0.0,ISS,0.0,0.0,0.0,0.0,17.0,2025-11-06T05:45:00+00:00,2025-11-06T05:45:00+00:00
05656b70c69003500b084800,2,82.0,4.0,0.0,98800.0,106.0,ISS,0.0,90.0,0.0,18.0,17.1,2025-11-05T22:30:00+00:00,2025-11-05T22:30:00+00:00
056660d0ce8003c02ac65800,2,80.0,3.0,0.0,98600.0,120.0,ISS,0.0,67.5,1.0,22.0,17.3,2025-11-06T01:15:00+00:00,2025-11-06T01:15:00+00:00
05656a70ce8803102b264000,2,81.0,3.0,0.0,98900.0,98.0,ISS,0.0,67.5,1.0,16.0,17.3,2025-11-05T20:30:00+00:00,2025-11-05T20:30:00+00:00
05656ab0ce9003602b2a2c00,2,82.0,5.0,0.0,98900.0,108.0,ISS,0.0,112.5,1.0,11.0,17.3,2025-11-05T21:00:00+00:00,2025-11-05T21:00:00+00:00
056568310e5002f04b4e6800,2,74.0,7.0,0.0,99000.0,94.0,ISS,0.0,157.5,2.0,26.0,18.3,2025-11-05T16:00:00+00:00,2025-11-05T16:00:00+00:00
05656ad0ce9003002b2a4000,2,82.0,5.0,0.0,98900.0,96.0,ISS,0.0,112.5,1.0,16.0,17.3,2025-11-05T21:15:00+00:00,2025-11-05T21:15:00+00:00
05656751563002f02b684c00,2,70.0,4.0,0.0,99100.0,94.0,ISS,0.0,90.0,1.0,19.0,19.5,2025-11-05T14:15:00+00:00,2025-11-05T14:15:00+00:00
056569b0d68000000b320c00,2,80.0,9.0,0.0,98900.0,0.0,ISS,0.0,202.5,0.0,3.0,17.5,2025-11-05T19:00:00+00:00,2025-11-05T19:00:00+00:00
05656970de8000000b461400,2,80.0,3.0,0.0,99000.0,0.0,ISS,0.0,67.5,0.0,5.0,17.7,2025-11-05T18:30:00+00:00,2025-11-05T18:30:00+00:00
05656bd0c68803502aea4c00,2,81.0,5.0,0.0,98700.0,106.0,ISS,0.0,112.5,1.0,19.0,17.1,2025-11-05T23:15:00+00:00,2025-11-05T23:15:00+00:00
05666050ca8803902ac65800,2,81.0,3.0,0.0,98600.0,114.0,ISS,0.0,67.5,1.0,22.0,17.2,2025-11-06T00:15:00+00:00,2025-11-06T00:15:00+00:00
056663905ac030000b000040,2,88.0,0.0,0.2,98800.0,0.0,ISS,0.6000000000000001,0.0,0.0,0.0,15.6,2025-11-06T06:45:00+00:00,2025-11-06T06:45:00+00:00
056661f0c28000000ad20800,2,80.0,9.0,0.0,98600.0,0.0,ISS,0.0,202.5,0.0,2.0,17.0,2025-11-06T03:30:00+00:00,2025-11-06T03:30:00+00:00
05666170c68000000ac00000,2,80.0,0.0,0.0,98600.0,0.0,ISS,0.0,0.0,0.0,0.0,17.1,2025-11-06T02:30:00+00:00,2025-11-06T02:30:00+00:00
056661b0c28000000ac00000,2,80.0,0.0,0.0,98600.0,0.0,ISS,0.0,0.0,0.0,0.0,17.0,2025-11-06T03:00:00+00:00,2025-11-06T03:00:00+00:00
056661d0c28000000ac60800,2,80.0,3.0,0.0,98600.0,0.0,ISS,0.0,67.5,0.0,2.0,17.0,2025-11-06T03:15:00+00:00,2025-11-06T03:15:00+00:00
05666210c28800000aca0800,2,81.0,5.0,0.0,98600.0,0.0,ISS,0.0,112.5,0.0,2.0,17.0,2025-11-06T03:45:00+00:00,2025-11-06T03:45:00+00:00
