data,id,humidite,direction_du_vecteur_de_vent_max,pluie_intensite_max,pression,direction_du_vecteur_vent_moyen,type_de_station,pluie,direction_du_vecteur_de_vent_max_en_degres,force_moyenne_du_vecteur_vent,force_rafale_max,temperature_en_degre_c,heure_de_paris,heure_utc
1b656bb08ab0036249ecb800,13,86.0,6.0,0.0,97900.0,108.0,ISS,0.0,135.0,18.0,46.0,16.2,2025-11-05T23:00:00+00:00,2025-11-05T23:00:00+00:00
1b656890a6980341aa488000,13,83.0,4.0,0.0,98200.0,104.0,ISS,0.0,90.0,13.0,32.0,16.9,2025-11-05T16:45:00+00:00,2025-11-05T16:45:00+00:00
1b656791026003626a4cb400,13,76.0,6.0,0.0,98200.0,108.0,ISS,0.0,135.0,19.0,45.0,18.0,2025-11-05T14:45:00+00:00,2025-11-05T14:45:00+00:00
1b6567510a5803726a6cc000,13,75.0,6.0,0.0,98300.0,110.0,ISS,0.0,135.0,19.0,48.0,18.2,2025-11-05T14:15:00+00:00,2025-11-05T14:15:00+00:00
1b656771065803624a48b400,13,75.0,4.0,0.0,98200.0,108.0,ISS,0.0,90.0,18.0,45.0,18.1,2025-11-05T14:30:00+00:00,2025-11-05T14:30:00+00:00
1b656850ca8803320a488c00,13,81.0,4.0,0.0,98200.0,102.0,ISS,0.0,90.0,16.0,35.0,17.2,2025-11-05T16:15:00+00:00,2025-11-05T16:15:00+00:00
1b656830ce8003522a48ac00,13,80.0,4.0,0.0,98200.0,106.0,ISS,0.0,90.0,17.0,43.0,17.3,2025-11-05T16:00:00+00:00,2025-11-05T16:00:00+00:00
1b6568f0a2a00351aa466c00,13,84.0,3.0,0.0,98200.0,106.0,ISS,0.0,67.5,13.0,27.0,16.8,2025-11-05T17:30:00+00:00,2025-11-05T17:30:00+00:00
1b656a1092b003620a2a8800,13,86.0,5.0,0.0,98100.0,108.0,ISS,0.0,112.5,16.0,34.0,16.4,2025-11-05T19:45:00+00:00,2025-11-05T19:45:00+00:00
1b656a3092b00381ea2c8800,13,86.0,6.0,0.0,98100.0,112.0,ISS,0.0,135.0,15.0,34.0,16.4,2025-11-05T20:00:00+00:00,2025-11-05T20:00:00+00:00
1b6661908ab003e129ea5400,13,86.0,5.0,0.0,97900.0,124.0,ISS,0.0,112.5,9.0,21.0,16.2,2025-11-06T02:45:00+00:00,2025-11-06T02:45:00+00:00
1b6663108eb003f0a9ec3800,13,86.0,6.0,0.0,97900.0,126.0,ISS,0.0,135.0,5.0,14.0,16.3,2025-11-06T05:45:00+00:00,2025-11-06T05:45:00+00:00
1b6660508ea8030229c89400,13,85.0,4.0,0.0,97800.0,96.0,ISS,0.0,90.0,17.0,37.0,16.3,2025-11-06T00:15:00+00:00,2025-11-06T00:15:00+00:00
1b6660b08ea80351e9ca8800,13,85.0,5.0,0.0,97800.0,106.0,ISS,0.0,112.5,15.0,34.0,16.3,2025-11-06T01:00:00+00:00,2025-11-06T01:00:00+00:00
1b6663308eb00410ca0c4c00,13,86.0,6.0,0.0,98000.0,130.0,ISS,0.0,135.0,6.0,19.0,16.3,2025-11-06T06:00:00+00:00,2025-11-06T06:00:00+00:00
1b6663cfcee17a108a3c4100,13,92.0,14.0,0.8,98100.0,322.0,ISS,4.6000000000000005,315.0,4.0,16.0,13.3,2025-11-06T07:15:00+00:00,2025-11-06T07:15:00+00:00
1b66644f92f849200a3a0c40,13,95.0,13.0,0.2,98100.0,292.0,ISS,0.8,292.5,0.0,3.0,12.4,2025-11-06T08:15:00+00:00,2025-11-06T08:15:00+00:00
1b66646f930031804a042040,13,96.0,2.0,0.2,98000.0,48.0,ISS,0.6000000000000001,45.0,2.0,8.0,12.4,2025-11-06T08:30:00+00:00,2025-11-06T08:30:00+00:00
1b656671264003728a8ae000,13,72.0,5.0,0.0,98400.0,110.0,ISS,0.0,112.5,20.0,56.0,18.9,2025-11-05T12:30:00+00:00,2025-11-05T12:30:00+00:00
1b6662908ab8042109ee6000,13,87.0,7.0,0.0,97900.0,132.0,ISS,0.0,157.5,8.0,24.0,16.2,2025-11-06T04:45:00+00:00,2025-11-06T04:45:00+00:00
1b6662d08eb80460c9f03800,13,87.0,8.0,0.0,97900.0,140.0,ISS,0.0,180.0,6.0,14.0,16.3,2025-11-06T05:15:00+00:00,2025-11-06T05:15:00+00:00
1b6660908ea80331e9c88800,13,85.0,4.0,0.0,97800.0,102.0,ISS,0.0,90.0,15.0,34.0,16.3,2025-11-06T00:45:00+00:00,2025-11-06T00:45:00+00:00
1b6567b0e66003324a4c9800,13,76.0,6.0,0.0,98200.0,102.0,ISS,0.0,135.0,18.0,38.0,17.9,2025-11-05T15:00:00+00:00,2025-11-05T15:00:00+00:00
1b6568d0a2a00331aa4c7800,13,84.0,6.0,0.0,98200.0,102.0,ISS,0.0,135.0,13.0,30.0,16.8,2025-11-05T17:15:00+00:00,2025-11-05T17:15:00+00:00
1b656b1092b00371ea2a9400,13,86.0,5.0,0.0,98100.0,110.0,ISS,0.0,112.5,15.0,37.0,16.4,2025-11-05T21:45:00+00:00,2025-11-05T21:45:00+00:00
1b6567d0e26803622a4aa000,13,77.0,5.0,0.0,98200.0,108.0,ISS,0.0,112.5,17.0,40.0,17.8,2025-11-05T15:15:00+00:00,2025-11-05T15:15:00+00:00
1b66635086c01350aa0c4c40,13,88.0,6.0,0.2,98000.0,106.0,ISS,0.2,135.0,5.0,19.0,16.1,2025-11-06T06:15:00+00:00,2025-11-06T06:15:00+00:00
1b6661f086b0036109ee4800,13,86.0,7.0,0.0,97900.0,108.0,ISS,0.0,157.5,8.0,18.0,16.1,2025-11-06T03:30:00+00:00,2025-11-06T03:30:00+00:00
1b6661508ea803c149ce8000,13,85.0,7.0,0.0,97800.0,120.0,ISS,0.0,157.5,10.0,32.0,16.3,2025-11-06T02:15:00+00:00,2025-11-06T02:15:00+00:00
1b6661d086b0036149cc5400,13,86.0,6.0,0.0,97800.0,108.0,ISS,0.0,135.0,10.0,21.0,16.1,2025-11-06T03:15:00+00:00,2025-11-06T03:15:00+00:00
1b6567111e5803728a6aac00,13,75.0,5.0,0.0,98300.0,110.0,ISS,0.0,112.5,20.0,43.0,18.7,2025-11-05T13:45:00+00:00,2025-11-05T13:45:00+00:00
1b6566d1224803324a6c9800,13,73.0,6.0,0.0,98300.0,102.0,ISS,0.0,135.0,18.0,38.0,18.8,2025-11-05T13:15:00+00:00,2025-11-05T13:15:00+00:00
1b656810d6780331ea4e8800,13,79.0,7.0,0.0,98200.0,102.0,ISS,0.0,157.5,15.0,34.0,17.5,2025-11-05T15:45:00+00:00,2025-11-05T15:45:00+00:00
1b656870c2900351ea488800,13,82.0,4.0,0.0,98200.0,106.0,ISS,0.0,90.0,15.0,34.0,17.0,2025-11-05T16:30:00+00:00,2025-11-05T16:30:00+00:00
1b6569509eb00331aa4c7400,13,86.0,6.0,0.0,98200.0,102.0,ISS,0.0,135.0,13.0,29.0,16.7,2025-11-05T18:15:00+00:00,2025-11-05T18:15:00+00:00
1b6569709eb003618a4a7400,13,86.0,5.0,0.0,98200.0,108.0,ISS,0.0,112.5,12.0,29.0,16.7,2025-11-05T18:30:00+00:00,2025-11-05T18:30:00+00:00
1b6569b096b003418a287400,13,86.0,4.0,0.0,98100.0,104.0,ISS,0.0,90.0,12.0,29.0,16.5,2025-11-05T19:00:00+00:00,2025-11-05T19:00:00+00:00
1b656a5092b00361ca287800,13,86.0,4.0,0.0,98100.0,108.0,ISS,0.0,90.0,14.0,30.0,16.4,2025-11-05T20:15:00+00:00,2025-11-05T20:15:00+00:00
1b656ab08ec003b1ea2e8000,13,88.0,7.0,0.0,98100.0,118.0,ISS,0.0,157.5,15.0,32.0,16.3,2025-11-05T21:00:00+00:00,2025-11-05T21:00:00+00:00
1b656b908ab803626a0ccc00,13,87.0,6.0,0.0,98000.0,108.0,ISS,0.0,135.0,19.0,51.0,16.2,2025-11-05T22:45:00+00:00,2025-11-05T22:45:00+00:00
1b656b3092b003720a2eb400,13,86.0,7.0,0.0,98100.0,110.0,ISS,0.0,157.5,16.0,45.0,16.4,2025-11-05T22:00:00+00:00,2025-11-05T22:00:00+00:00
1b656c108ea8036249ec8c00,13,85.0,6.0,0.0,97900.0,108.0,ISS,0.0,135.0,18.0,35.0,16.3,2025-11-05T23:45:00+00:00,2025-11-05T23:45:00+00:00
1b656bd08ab0036229ecb800,13,86.0,6.0,0.0,97900.0,108.0,ISS,0.0,135.0,17.0,46.0,16.2,2025-11-05T23:15:00+00:00,2025-11-05T23:15:00+00:00
1b6660708ea8031229cc8800,13,85.0,6.0,0.0,97800.0,98.0,ISS,0.0,135.0,17.0,34.0,16.3,2025-11-06T00:30:00+00:00,2025-11-06T00:30:00+00:00
