data,id,mois,jour,annee,numero_de_message,temperature_partie_entiere,temperature_partie_decimale,humidite,pluie_en_augets,direction_du_vecteur_moyen_de_vent,force_moyenne_du_vecteur_de_vent,pression_a_decoder,direction_du_vecteur_de_vent_max,force_du_vecteur_de_vent_max,pluie_la_plus_intense_durant_1_min,type_station,pluie_intensite_max,heure,annee_reelle,minute,pression,temperature_decodee,direction_du_vecteur_vent_moyen,type_de_station,pluie,direction_du_vecteur_de_vent_max_en_degres,force_moyenne_du_vecteur_vent,force_rafale_max,jour_mois,dd_mm_yy_utc,hh_mm_utc,dd_mm_yy_hh_mm,temperature_en_degre_c,false_message,dd_mm_yy_hh_mm_utc,heure_paris_dd_mm_yy_hh_mm,heure_de_paris,heure_utc
aaf0a4f2f2f2f2f2f2f2f2f3,85,7,16,10,39,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,9,2029,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,16/7,16/7/2029,9:30,2029-07-16T09:30:00,25.12,267125272015603,2029-07-16T09:30:00+00:00,2029-07-16T09:30:00+02:00,2029-07-16T09:30:00+00:00,2029-07-16T09:30:00+00:00
aaf0b2f2f2f2f2f2f2f2f2f3,85,7,16,11,23,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,5,2030,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,16/7,16/7/2030,5:30,2030-07-16T05:30:00,25.12,267125272015603,2030-07-16T05:30:00+00:00,2030-07-16T05:30:00+02:00,2030-07-16T05:30:00+00:00,2030-07-16T05:30:00+00:00
aaf094f2f2f2f2f2f2f2f2f3,85,7,16,9,39,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,9,2028,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,16/7,16/7/2028,9:30,2028-07-16T09:30:00,25.12,267125272015603,2028-07-16T09:30:00+00:00,2028-07-16T09:30:00+02:00,2028-07-16T09:30:00+00:00,2028-07-16T09:30:00+00:00
aaf0baf2f2f2f2f2f2f2f2f3,85,7,16,11,87,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,21,2030,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,16/7,16/7/2030,21:30,2030-07-16T21:30:00,25.12,267125272015603,2030-07-16T21:30:00+00:00,2030-07-16T21:30:00+02:00,2030-07-16T21:30:00+00:00,2030-07-16T21:30:00+00:00
ab6898f2f2f2f2f2f2f2f2f3,85,11,8,9,71,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,17,2028,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,8/11,8/11/2028,17:30,2028-11-08T17:30:00,25.12,267125272015603,2028-11-08T17:30:00+00:00,2028-11-08T17:30:00+01:00,2028-11-08T17:30:00+00:00,2028-11-08T17:30:00+00:00
ab5c88f2f2f2f2f2f2f2f2f3,85,10,28,8,71,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,17,2027,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,28/10,28/10/2027,17:30,2027-10-28T17:30:00,25.12,267125272015603,2027-10-28T17:30:00+00:00,2027-10-28T17:30:00+02:00,2027-10-28T17:30:00+00:00,2027-10-28T17:30:00+00:00
aad4a6f2f2f2f2f2f2f2f2f3,85,6,20,10,55,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,13,2029,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,20/6,20/6/2029,13:30,2029-06-20T13:30:00,25.12,267125272015603,2029-06-20T13:30:00+00:00,2029-06-20T13:30:00+02:00,2029-06-20T13:30:00+00:00,2029-06-20T13:30:00+00:00
ab90b4f2f2f2f2f2f2f2f2f3,85,12,16,11,39,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,9,2030,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,16/12,16/12/2030,9:30,2030-12-16T09:30:00,25.12,267125272015603,2030-12-16T09:30:00+00:00,2030-12-16T09:30:00+01:00,2030-12-16T09:30:00+00:00,2030-12-16T09:30:00+00:00
ab649af2f2f2f2f2f2f2f2f3,85,11,4,9,87,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,21,2028,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,4/11,4/11/2028,21:30,2028-11-04T21:30:00,25.12,267125272015603,2028-11-04T21:30:00+00:00,2028-11-04T21:30:00+01:00,2028-11-04T21:30:00+00:00,2028-11-04T21:30:00+00:00
ab8480f2f2f2f2f2f2f2f2f3,85,12,4,8,7,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,1,2027,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,4/12,4/12/2027,1:30,2027-12-04T01:30:00,25.12,267125272015603,2027-12-04T01:30:00+00:00,2027-12-04T01:30:00+01:00,2027-12-04T01:30:00+00:00,2027-12-04T01:30:00+00:00
