data,id,humidite,direction_du_vecteur_de_vent_max,pluie_intensite_max,pression,direction_du_vecteur_vent_moyen,type_de_station,pluie,direction_du_vecteur_de_vent_max_en_degres,force_moyenne_du_vecteur_vent,force_rafale_max,temperature_en_degre_c,heure_de_paris,heure_utc
316568110a6000030b6aa800,24,76.0,5.0,0.0,99100.0,0.0,ISS,0.0,112.5,24.0,42.0,18.2,2025-11-05T15:45:00+00:00,2025-11-05T15:45:00+00:00
316566f1224800034b6ed800,24,73.0,7.0,0.0,99100.0,0.0,ISS,0.0,157.5,26.0,54.0,18.8,2025-11-05T13:30:00+00:00,2025-11-05T13:30:00+00:00
316567711a4800026b6eb400,24,73.0,7.0,0.0,99100.0,0.0,ISS,0.0,157.5,19.0,45.0,18.6,2025-11-05T14:30:00+00:00,2025-11-05T14:30:00+00:00
31656831026800028b4ea000,24,77.0,7.0,0.0,99000.0,0.0,ISS,0.0,157.5,20.0,40.0,18.0,2025-11-05T16:00:00+00:00,2025-11-05T16:00:00+00:00
31656930ce9000026b4e9400,24,82.0,7.0,0.0,99000.0,0.0,ISS,0.0,157.5,19.0,37.0,17.3,2025-11-05T18:00:00+00:00,2025-11-05T18:00:00+00:00
31656950ce9800024b4e9400,24,83.0,7.0,0.0,99000.0,0.0,ISS,0.0,157.5,18.0,37.0,17.3,2025-11-05T18:15:00+00:00,2025-11-05T18:15:00+00:00
316569f0c6980002cb2ea000,24,83.0,7.0,0.0,98900.0,0.0,ISS,0.0,157.5,22.0,40.0,17.1,2025-11-05T19:30:00+00:00,2025-11-05T19:30:00+00:00
31656b90a2a00002eaecb400,24,84.0,6.0,0.0,98700.0,0.0,ISS,0.0,135.0,23.0,45.0,16.8,2025-11-05T22:45:00+00:00,2025-11-05T22:45:00+00:00
31666050a29000024acca000,24,82.0,6.0,0.0,98600.0,0.0,ISS,0.0,135.0,18.0,40.0,16.8,2025-11-06T00:15:00+00:00,2025-11-06T00:15:00+00:00
31666030a6900002aaeca800,24,82.0,6.0,0.0,98700.0,0.0,ISS,0.0,135.0,21.0,42.0,16.9,2025-11-06T00:00:00+00:00,2025-11-06T00:00:00+00:00
316661109ea000012aee5800,24,84.0,7.0,0.0,98700.0,0.0,ISS,0.0,157.5,9.0,22.0,16.7,2025-11-06T01:45:00+00:00,2025-11-06T01:45:00+00:00
316661509aa00000aaee4c00,24,84.0,7.0,0.0,98700.0,0.0,ISS,0.0,157.5,5.0,19.0,16.6,2025-11-06T02:15:00+00:00,2025-11-06T02:15:00+00:00
316661f096a000016ace6000,24,84.0,7.0,0.0,98600.0,0.0,ISS,0.0,157.5,11.0,24.0,16.5,2025-11-06T03:30:00+00:00,2025-11-06T03:30:00+00:00
316661b096a800008aea4000,24,85.0,5.0,0.0,98700.0,0.0,ISS,0.0,112.5,4.0,16.0,16.5,2025-11-06T03:00:00+00:00,2025-11-06T03:00:00+00:00
3166625096a800010aec4c00,24,85.0,6.0,0.0,98700.0,0.0,ISS,0.0,135.0,8.0,19.0,16.5,2025-11-06T04:15:00+00:00,2025-11-06T04:15:00+00:00
316663308ec000000ae00000,24,88.0,0.0,0.0,98700.0,0.0,ISS,0.0,0.0,0.0,0.0,16.3,2025-11-06T06:00:00+00:00,2025-11-06T06:00:00+00:00
316663cfded800004b362000,24,91.0,11.0,0.0,98900.0,0.0,ISS,0.0,247.5,2.0,8.0,13.7,2025-11-06T07:15:00+00:00,2025-11-06T07:15:00+00:00
3166648fc2f00290cae84800,24,94.0,4.0,0.0,98700.0,82.0,ISS,0.0,90.0,6.0,18.0,13.0,2025-11-06T08:45:00+00:00,2025-11-06T08:45:00+00:00
3166646fc6f002c14ae85800,24,94.0,4.0,0.0,98700.0,88.0,ISS,0.0,90.0,10.0,22.0,13.1,2025-11-06T08:30:00+00:00,2025-11-06T08:30:00+00:00
31666090a6900001cacc9800,24,82.0,6.0,0.0,98600.0,0.0,ISS,0.0,135.0,14.0,38.0,16.9,2025-11-06T00:45:00+00:00,2025-11-06T00:45:00+00:00
316660f09ea00001aaee9400,24,84.0,7.0,0.0,98700.0,0.0,ISS,0.0,157.5,13.0,37.0,16.7,2025-11-06T01:30:00+00:00,2025-11-06T01:30:00+00:00
31656a90a6a800020b2e9400,24,85.0,7.0,0.0,98900.0,0.0,ISS,0.0,157.5,16.0,37.0,16.9,2025-11-05T20:45:00+00:00,2025-11-05T20:45:00+00:00
31656a30a6a000022b2e9400,24,84.0,7.0,0.0,98900.0,0.0,ISS,0.0,157.5,17.0,37.0,16.9,2025-11-05T20:00:00+00:00,2025-11-05T20:00:00+00:00
31656a10c2a000026b2a8c00,24,84.0,5.0,0.0,98900.0,0.0,ISS,0.0,112.5,19.0,35.0,17.0,2025-11-05T19:45:00+00:00,2025-11-05T19:45:00+00:00
316568f0d29000024b4c8c00,24,82.0,6.0,0.0,99000.0,0.0,ISS,0.0,135.0,18.0,35.0,17.4,2025-11-05T17:30:00+00:00,2025-11-05T17:30:00+00:00
316567f10e5800030b6cb800,24,75.0,6.0,0.0,99100.0,0.0,ISS,0.0,135.0,24.0,46.0,18.3,2025-11-05T15:30:00+00:00,2025-11-05T15:30:00+00:00
31656850e2700002cb4eac00,24,78.0,7.0,0.0,99000.0,0.0,ISS,0.0,157.5,22.0,43.0,17.8,2025-11-05T16:15:00+00:00,2025-11-05T16:15:00+00:00
31656910d29000024b4e9800,24,82.0,7.0,0.0,99000.0,0.0,ISS,0.0,157.5,18.0,38.0,17.4,2025-11-05T17:45:00+00:00,2025-11-05T17:45:00+00:00
31656ab0a6a800020b2c9800,24,85.0,6.0,0.0,98900.0,0.0,ISS,0.0,135.0,16.0,38.0,16.9,2025-11-05T21:00:00+00:00,2025-11-05T21:00:00+00:00
316569d0c69800026b2c9400,24,83.0,6.0,0.0,98900.0,0.0,ISS,0.0,135.0,19.0,37.0,17.1,2025-11-05T19:15:00+00:00,2025-11-05T19:15:00+00:00
31656bf0a69000034aeec800,24,82.0,7.0,0.0,98700.0,0.0,ISS,0.0,157.5,26.0,50.0,16.9,2025-11-05T23:30:00+00:00,2025-11-05T23:30:00+00:00
31656990ca9800024b4e8000,24,83.0,7.0,0.0,99000.0,0.0,ISS,0.0,157.5,18.0,32.0,17.2,2025-11-05T18:45:00+00:00,2025-11-05T18:45:00+00:00
