data,id,humidite,direction_du_vecteur_de_vent_max,pluie_intensite_max,pression,direction_du_vecteur_vent_moyen,type_de_station,pluie,direction_du_vecteur_de_vent_max_en_degres,force_moyenne_du_vecteur_vent,force_rafale_max,temperature_en_degre_c,heure_de_paris,heure_utc
4b65671165a00001206e7c00,37,52.0,7.0,0.0,90300.0,0.0,ISS,0.0,157.5,9.0,31.0,19.9,2025-11-05T13:45:00+00:00,2025-11-05T13:45:00+00:00
4b65669181980000c4cc6800,37,51.0,6.0,0.0,93800.0,0.0,ISS,0.0,135.0,6.0,26.0,20.0,2025-11-05T12:45:00+00:00,2025-11-05T12:45:00+00:00
4b656a50c9f80000b8108800,37,63.0,8.0,0.0,109200.0,0.0,ISS,0.0,180.0,5.0,34.0,17.2,2025-11-05T20:15:00+00:00,2025-11-05T20:15:00+00:00
4b666090c9f00000ab8e8800,37,62.0,7.0,0.0,99200.0,0.0,ISS,0.0,157.5,5.0,34.0,17.2,2025-11-06T00:45:00+00:00,2025-11-06T00:45:00+00:00
4b6660d0c9f00000ab506000,37,62.0,8.0,0.0,99000.0,0.0,ISS,0.0,180.0,5.0,24.0,17.2,2025-11-06T01:15:00+00:00,2025-11-06T01:15:00+00:00
4b6660b0cde80000ab907c00,37,61.0,8.0,0.0,99200.0,0.0,ISS,0.0,180.0,5.0,31.0,17.3,2025-11-06T01:00:00+00:00,2025-11-06T01:00:00+00:00
4b6661f0a5f800004d504000,37,63.0,8.0,0.0,100600.0,0.0,ISS,0.0,180.0,2.0,16.0,16.9,2025-11-06T03:30:00+00:00,2025-11-06T03:30:00+00:00
4b6661d0c1f000002dae5400,37,62.0,7.0,0.0,100900.0,0.0,ISS,0.0,157.5,1.0,21.0,17.0,2025-11-06T03:15:00+00:00,2025-11-06T03:15:00+00:00
4b666390861000d031e620c0,37,66.0,3.0,0.6000000000000001,104300.0,26.0,ISS,0.0,67.5,1.0,8.0,16.1,2025-11-06T06:45:00+00:00,2025-11-06T06:45:00+00:00
4b656671819000010550a800,37,50.0,8.0,0.0,94200.0,0.0,ISS,0.0,180.0,8.0,42.0,20.0,2025-11-05T12:30:00+00:00,2025-11-05T12:30:00+00:00
4b666270a5f800008cd27c00,37,63.0,9.0,0.0,100200.0,0.0,ISS,0.0,202.5,4.0,31.0,16.9,2025-11-06T04:30:00+00:00,2025-11-06T04:30:00+00:00
4b666290c1f800004eb03400,37,63.0,8.0,0.0,101700.0,0.0,ISS,0.0,180.0,2.0,13.0,17.0,2025-11-06T04:45:00+00:00,2025-11-06T04:45:00+00:00
4b656b70c9f80000d5505c00,37,63.0,8.0,0.0,107000.0,0.0,ISS,0.0,180.0,6.0,23.0,17.2,2025-11-05T22:30:00+00:00,2025-11-05T22:30:00+00:00
