data,id,humidite,direction_du_vecteur_de_vent_max,pluie_intensite_max,pression,direction_du_vecteur_vent_moyen,type_de_station,pluie,direction_du_vecteur_de_vent_max_en_degres,force_moyenne_du_vecteur_vent,force_rafale_max,temperature_en_degre_c,heure_de_paris,heure_utc
55656a90da5800004bc02000,42,75.0,0.0,0.0,99400.0,0.0,ISS,0.0,0.0,2.0,8.0,17.6,2025-11-05T20:45:00+00:00,2025-11-05T20:45:00+00:00
556566b199f000008c004800,42,62.0,0.0,0.0,99600.0,0.0,ISS,0.0,0.0,4.0,18.0,20.6,2025-11-05T13:00:00+00:00,2025-11-05T13:00:00+00:00
556567d1461800006be03400,42,67.0,0.0,0.0,99500.0,0.0,ISS,0.0,0.0,3.0,13.0,19.1,2025-11-05T15:15:00+00:00,2025-11-05T15:15:00+00:00
556567b14a1000006be03800,42,66.0,0.0,0.0,99500.0,0.0,ISS,0.0,0.0,3.0,14.0,19.2,2025-11-05T15:00:00+00:00,2025-11-05T15:00:00+00:00
556568f1024000006be02800,42,72.0,0.0,0.0,99500.0,0.0,ISS,0.0,0.0,3.0,10.0,18.0,2025-11-05T17:30:00+00:00,2025-11-05T17:30:00+00:00
55656990e64800004be02000,42,73.0,0.0,0.0,99500.0,0.0,ISS,0.0,0.0,2.0,8.0,17.9,2025-11-05T18:45:00+00:00,2025-11-05T18:45:00+00:00
55656a50da5000004bc03400,42,74.0,0.0,0.0,99400.0,0.0,ISS,0.0,0.0,2.0,13.0,17.6,2025-11-05T20:15:00+00:00,2025-11-05T20:15:00+00:00
55656ad0d65800004bc03400,42,75.0,0.0,0.0,99400.0,0.0,ISS,0.0,0.0,2.0,13.0,17.5,2025-11-05T21:15:00+00:00,2025-11-05T21:15:00+00:00
55666090d25000006b603800,42,74.0,0.0,0.0,99100.0,0.0,ISS,0.0,0.0,3.0,14.0,17.4,2025-11-06T00:45:00+00:00,2025-11-06T00:45:00+00:00
55666210a65800002b601400,42,75.0,0.0,0.0,99100.0,0.0,ISS,0.0,0.0,1.0,5.0,16.9,2025-11-06T03:45:00+00:00,2025-11-06T03:45:00+00:00
55666110d25000006b602800,42,74.0,0.0,0.0,99100.0,0.0,ISS,0.0,0.0,3.0,10.0,17.4,2025-11-06T01:45:00+00:00,2025-11-06T01:45:00+00:00
556661f0a65800002b601800,42,75.0,0.0,0.0,99100.0,0.0,ISS,0.0,0.0,1.0,6.0,16.9,2025-11-06T03:30:00+00:00,2025-11-06T03:30:00+00:00
556661d0a25800002b601800,42,75.0,0.0,0.0,99100.0,0.0,ISS,0.0,0.0,1.0,6.0,16.8,2025-11-06T03:15:00+00:00,2025-11-06T03:15:00+00:00
55666230a66000000b601400,42,76.0,0.0,0.0,99100.0,0.0,ISS,0.0,0.0,0.0,5.0,16.9,2025-11-06T04:00:00+00:00,2025-11-06T04:00:00+00:00
556662f0c66000000b801800,42,76.0,0.0,0.0,99200.0,0.0,ISS,0.0,0.0,0.0,6.0,17.1,2025-11-06T05:30:00+00:00,2025-11-06T05:30:00+00:00
556662d0c65800000b800800,42,75.0,0.0,0.0,99200.0,0.0,ISS,0.0,0.0,0.0,2.0,17.1,2025-11-06T05:15:00+00:00,2025-11-06T05:15:00+00:00
5566642fd6a060000ba00040,42,84.0,0.0,0.2,99300.0,0.0,ISS,1.2000000000000002,0.0,0.0,0.0,13.5,2025-11-06T08:00:00+00:00,2025-11-06T08:00:00+00:00
5565667191f000008c205800,42,62.0,0.0,0.0,99700.0,0.0,ISS,0.0,0.0,4.0,22.0,20.4,2025-11-05T12:30:00+00:00,2025-11-05T12:30:00+00:00
55666310c66000000b801400,42,76.0,0.0,0.0,99200.0,0.0,ISS,0.0,0.0,0.0,5.0,17.1,2025-11-06T05:45:00+00:00,2025-11-06T05:45:00+00:00
55656a70da5000006bc03400,42,74.0,0.0,0.0,99400.0,0.0,ISS,0.0,0.0,3.0,13.0,17.6,2025-11-05T20:30:00+00:00,2025-11-05T20:30:00+00:00
556567f1261800004be02800,42,67.0,0.0,0.0,99500.0,0.0,ISS,0.0,0.0,2.0,10.0,18.9,2025-11-05T15:30:00+00:00,2025-11-05T15:30:00+00:00
556567914e1000008be04c00,42,66.0,0.0,0.0,99500.0,0.0,ISS,0.0,0.0,4.0,19.0,19.3,2025-11-05T14:45:00+00:00,2025-11-05T14:45:00+00:00
55656af0d65800006bc03800,42,75.0,0.0,0.0,99400.0,0.0,ISS,0.0,0.0,3.0,14.0,17.5,2025-11-05T21:30:00+00:00,2025-11-05T21:30:00+00:00
556661b0a65800000b600c00,42,75.0,0.0,0.0,99100.0,0.0,ISS,0.0,0.0,0.0,3.0,16.9,2025-11-06T03:00:00+00:00,2025-11-06T03:00:00+00:00
556664afcab030000b800840,42,86.0,0.0,0.2,99200.0,0.0,ISS,0.6000000000000001,0.0,0.0,2.0,13.2,2025-11-06T09:00:00+00:00,2025-11-06T09:00:00+00:00
5565669195f000006c204000,42,62.0,0.0,0.0,99700.0,0.0,ISS,0.0,0.0,3.0,16.0,20.5,2025-11-05T12:45:00+00:00,2025-11-05T12:45:00+00:00
55656731860000006c003800,42,64.0,0.0,0.0,99600.0,0.0,ISS,0.0,0.0,3.0,14.0,20.1,2025-11-05T14:00:00+00:00,2025-11-05T14:00:00+00:00
55656911024000002be02800,42,72.0,0.0,0.0,99500.0,0.0,ISS,0.0,0.0,1.0,10.0,18.0,2025-11-05T17:45:00+00:00,2025-11-05T17:45:00+00:00
