data,id,humidite,direction_du_vecteur_de_vent_max,pluie_intensite_max,pression,direction_du_vecteur_vent_moyen,type_de_station,pluie,direction_du_vecteur_de_vent_max_en_degres,force_moyenne_du_vecteur_vent,force_rafale_max,temperature_en_degre_c,heure_de_paris,heure_utc
7d656b90d1f80301ebc69400,62,63.0,3.0,0.0,99400.0,96.0,ISS,0.0,67.5,15.0,37.0,17.4,2025-11-05T22:45:00+00:00,2025-11-05T22:45:00+00:00
7d65699101e803612c086800,62,61.0,4.0,0.0,99600.0,108.0,ISS,0.0,90.0,9.0,26.0,18.0,2025-11-05T18:45:00+00:00,2025-11-05T18:45:00+00:00
7d6568910dd002e12c045800,62,58.0,2.0,0.0,99600.0,92.0,ISS,0.0,45.0,9.0,22.0,18.3,2025-11-05T16:45:00+00:00,2025-11-05T16:45:00+00:00
7d6568111dc00301ac088c00,62,56.0,4.0,0.0,99600.0,96.0,ISS,0.0,90.0,13.0,35.0,18.7,2025-11-05T15:45:00+00:00,2025-11-05T15:45:00+00:00
7d65669195900361ac4e8c00,62,50.0,7.0,0.0,99800.0,108.0,ISS,0.0,157.5,13.0,35.0,20.5,2025-11-05T12:45:00+00:00,2025-11-05T12:45:00+00:00
7d6566d1919002a22c26a000,62,50.0,3.0,0.0,99700.0,84.0,ISS,0.0,67.5,17.0,40.0,20.4,2025-11-05T13:15:00+00:00,2025-11-05T13:15:00+00:00
7d6566f18d9802d20c2ab400,62,51.0,5.0,0.0,99700.0,90.0,ISS,0.0,112.5,16.0,45.0,20.3,2025-11-05T13:30:00+00:00,2025-11-05T13:30:00+00:00
7d65685115c802c18c068c00,62,57.0,3.0,0.0,99600.0,88.0,ISS,0.0,67.5,12.0,35.0,18.5,2025-11-05T16:15:00+00:00,2025-11-05T16:15:00+00:00
7d656bd0d1f80311cba68800,62,63.0,3.0,0.0,99300.0,98.0,ISS,0.0,67.5,14.0,34.0,17.4,2025-11-05T23:15:00+00:00,2025-11-05T23:15:00+00:00
7d666050d5f002d1eb869800,62,62.0,3.0,0.0,99200.0,90.0,ISS,0.0,67.5,15.0,38.0,17.5,2025-11-06T00:15:00+00:00,2025-11-06T00:15:00+00:00
