data,id,humidite,direction_du_vecteur_de_vent_max,pluie_intensite_max,pression,direction_du_vecteur_vent_moyen,type_de_station,pluie,direction_du_vecteur_de_vent_max_en_degres,force_moyenne_du_vecteur_vent,force_rafale_max,temperature_en_degre_c,heure_de_paris,heure_utc,mois,jour,annee,numero_de_message,temperature_partie_entiere,temperature_partie_decimale,pluie_en_augets,direction_du_vecteur_moyen_de_vent,force_moyenne_du_vecteur_de_vent,pression_a_decoder,force_du_vecteur_de_vent_max,pluie_la_plus_intense_durant_1_min,type_station,heure,annee_reelle,minute,temperature_decodee,jour_mois,dd_mm_yy_utc,hh_mm_utc,dd_mm_yy_hh_mm,false_message,dd_mm_yy_hh_mm_utc,heure_paris_dd_mm_yy_hh_mm
088576000a00000c01060103,4,64,3.0,0.8,90800.0,0,sous station,0.0,67.5,112.0,0.0,-50.2,2026-04-05T11:45:00+00:00,2026-04-05T11:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
0d0574f2f2f2f2f2f2f2f2f3,6,94,9.0,2.2,105100.0,94,sous station,9.4,202.5,23.0,60.0,25.12,2026-08-05T09:30:00+00:00,2026-08-05T09:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
0d057af2f2f2f2f2f2f2f2f3,6,94,9.0,2.2,105100.0,94,sous station,9.4,202.5,23.0,60.0,25.12,2026-08-05T21:30:00+00:00,2026-08-05T21:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
0cf574f2f2f2f2f2f2f2f2f3,6,94,9.0,2.2,105100.0,94,sous station,9.4,202.5,23.0,60.0,25.12,2026-07-21T09:30:00+00:00,2026-07-21T09:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
0a5176040404000102040403,5,0,2.0,0.0,91600.0,0,sous station,12.8,45.0,8.0,1.0,-34.1,2026-02-17T11:45:00+00:00,2026-02-17T11:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
0d4578000000000000000002,6,0,0.0,0.0,90000.0,0,sous station,0.0,0.0,0.0,0.0,-50.0,2026-10-05T15:45:00+00:00,2026-10-05T15:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
0c3971050507070507070507,6,32,3.0,0.8,95600.0,224,sous station,22.4,67.5,40.0,65.0,-30.1,2026-01-25T01:45:00+00:00,2026-01-25T01:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
088978020202020202020203,4,64,1.0,1.6,91600.0,64,sous station,6.4,22.5,16.0,0.0,-42.0,2026-04-09T15:45:00+00:00,2026-04-09T15:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
089576020202020202020203,4,64,1.0,1.6,91600.0,64,sous station,6.4,22.5,16.0,0.0,-42.0,2026-04-21T11:45:00+00:00,2026-04-21T11:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
0d716af2f2f2f2f2f2f2f2f3,6,94,9.0,2.2,105100.0,94,sous station,9.4,202.5,23.0,60.0,25.12,2025-11-17T21:30:00+00:00,2025-11-17T21:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
0d7160f2f2f2f2f2f2f2f2f3,6,94,9.0,2.2,105100.0,94,sous station,9.4,202.5,23.0,60.0,25.12,2025-11-17T01:30:00+00:00,2025-11-17T01:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
0d7d66f2f2f2f2f2f2f2f2f3,6,94,9.0,2.2,105100.0,94,sous station,9.4,202.5,23.0,60.0,25.12,2025-11-29T13:30:00+00:00,2025-11-29T13:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
